archivo;oracion_id;oracion;cubanismo_detectado;lema_bd;categoria_gramatical;es_cubanismo;ia_sugiere;ia_razon;ia_beto_final
10207.txt;1;Un doble homicidio se ha reportado este viernes en el caserío Los Trejos, colonia María Auxiliadora, cantón Primavera, Santa Ana, informó la Fiscalía General de la República (FGR).;doble;doble;m;0.0;;;0
10207.txt;1;Un doble homicidio se ha reportado este viernes en el caserío Los Trejos, colonia María Auxiliadora, cantón Primavera, Santa Ana, informó la Fiscalía General de la República (FGR).;colonia;colonia;f;0.0;;;0
10207.txt;6;Asimismo se informó sobre otra escena en la finca Montecristo en Tepecoyo, La Libertad.;sobre;sobre;m;0.0;;;0
10207.txt;6;Asimismo se informó sobre otra escena en la finca Montecristo en Tepecoyo, La Libertad.;finca;finca;f;1.0;;;0
10207.txt;8;También se reportó la muerte de un gatillero de la Mara Salvatrucha luego de enfrentarse con agentes de la corporación policial, quien fue identificado como Carlos Alexander Garay barrera de 22 años de edad.;alexander;alexander;m;0.0;;;0
10207.txt;10;De acuerdo con las autoridades, Garay Barrera acostumbraba junto a otros sujetos a exigir dinero a los lugareños bajo amenaza.;bajo;bajo;m;0.0;;;0
10459.txt;1;Desde las 8:00 de la noche de este martes hasta las 5:00 de la mañana del miércoles estará restringido parcialmente el paso vehicular en el bulevar Los Héroes, informó el Viceministerio de Transporte (VMT) a través de redes sociales.;miércoles;miércoles;sust(m/f)/adj;0.0;;;0
10459.txt;1;Desde las 8:00 de la noche de este martes hasta las 5:00 de la mañana del miércoles estará restringido parcialmente el paso vehicular en el bulevar Los Héroes, informó el Viceministerio de Transporte (VMT) a través de redes sociales.;paso;paso;m;0.0;;;0
10459.txt;1;Desde las 8:00 de la noche de este martes hasta las 5:00 de la mañana del miércoles estará restringido parcialmente el paso vehicular en el bulevar Los Héroes, informó el Viceministerio de Transporte (VMT) a través de redes sociales.;bulevar;bulevar;m;1.0;;;1
10459.txt;2;El cierre del paso vehicular se realizará debido a la instalación de una pasarela que conectará el edificio principal del Hospital Benjamín Bloom y el anexo de dicho nosocomio.;cierre;cierre;m;0.0;;;0
10459.txt;2;El cierre del paso vehicular se realizará debido a la instalación de una pasarela que conectará el edificio principal del Hospital Benjamín Bloom y el anexo de dicho nosocomio.;paso;paso;m;0.0;;;0
10459.txt;3;"""Durante la noche de hoy y madrugada de mañana trabajaremos en el montaje de la sexta pila que sostendrá la infraestructura elevada que interconectará los dos edificios del Hospital Bloom"", informó también la cuenta de redes sociales del Ministerio de Obras Públicas.";pila;pila;f;0.0;;;0
10459.txt;4;El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;cierre;cierre;m;0.0;;;0
10459.txt;4;El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;tres;tres;m;0.0;;;0
10459.txt;4;El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;sentido;sentido;m;0.0;;;0
10459.txt;4;El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;calle;calle;f;0.0;;;0
10459.txt;5;Los trabajos de la instalación de la pasarela iniciaron el 12 de junio, para conectar la torre principal del hospital Bloom, con el anexo.;conectar;conectar;v;0.0;;;0
10459.txt;5;Los trabajos de la instalación de la pasarela iniciaron el 12 de junio, para conectar la torre principal del hospital Bloom, con el anexo.;torre;torre;f;0.0;;;0
10459.txt;6;La construcción de la obra inició el 16 de diciembre del año pasado.;año;año;m;0.0;;;0
10473.txt;1;El viceministro de obras públicas, Eliud Ayala dijo que la construcción del puente Motochico, ubicado en el kilómetro 69 de la carretera Longitudinal del Norte, entre la ciudad de Chalatenango y el municipio de El Paraíso, tardaría probablemente de un año y medio a dos para construirse.;paraíso;paraíso;m;0.0;;;0
10473.txt;1;El viceministro de obras públicas, Eliud Ayala dijo que la construcción del puente Motochico, ubicado en el kilómetro 69 de la carretera Longitudinal del Norte, entre la ciudad de Chalatenango y el municipio de El Paraíso, tardaría probablemente de un año y medio a dos para construirse.;año;año;m;0.0;;;0
10473.txt;1;El viceministro de obras públicas, Eliud Ayala dijo que la construcción del puente Motochico, ubicado en el kilómetro 69 de la carretera Longitudinal del Norte, entre la ciudad de Chalatenango y el municipio de El Paraíso, tardaría probablemente de un año y medio a dos para construirse.;medio;medio;m;0.0;;;0
10473.txt;4;Sin embargo, con el financiamiento y la ejecución estamos hablando de no menos de año o dos años para terminar y poderlo tener”, explicó Ayala.;año;año;m;0.0;;;0
10473.txt;4;Sin embargo, con el financiamiento y la ejecución estamos hablando de no menos de año o dos años para terminar y poderlo tener”, explicó Ayala.;terminar;terminar;v;0.0;;;0
10473.txt;5;El viceministro dijo que han decidido hacer el trabajo en tres fases.;trabajo;trabajo;m;0.0;;;0
10473.txt;5;El viceministro dijo que han decidido hacer el trabajo en tres fases.;tres;tres;m;0.0;;;0
10473.txt;7;Añadió que hasta el momento, “estamos haciendo dos esfuerzos paralelos, de igual manera estamos avanzando a un puente provisional, metálico, con fondos Fopromil que fueron aprobados el viernes de la semana pasada y, de igual manera, ya montamos a un equipo para el puente definitivo que ese nos lleva mucho más tiempo, pero estamos trabajando en tres equipos.;manera;manera;f;0.0;;;0
10473.txt;7;Añadió que hasta el momento, “estamos haciendo dos esfuerzos paralelos, de igual manera estamos avanzando a un puente provisional, metálico, con fondos Fopromil que fueron aprobados el viernes de la semana pasada y, de igual manera, ya montamos a un equipo para el puente definitivo que ese nos lleva mucho más tiempo, pero estamos trabajando en tres equipos.;manera;manera;f;0.0;;;0
10473.txt;7;Añadió que hasta el momento, “estamos haciendo dos esfuerzos paralelos, de igual manera estamos avanzando a un puente provisional, metálico, con fondos Fopromil que fueron aprobados el viernes de la semana pasada y, de igual manera, ya montamos a un equipo para el puente definitivo que ese nos lleva mucho más tiempo, pero estamos trabajando en tres equipos.;tres;tres;m;0.0;;;0
10473.txt;12;Por otra parte, dijo que  tienen en observación el puente El Jute, en La Unión,  que está sobre la carretera del Litoral y que tiene algunas afectaciones.;sobre;sobre;m;0.0;;;0
10473.txt;13;Las declaraciones fueron dadas ayer, cuando el Ministerio de Obras Públicas presentó su rendición de cuentas del tercer año de gestión, donde dijeron haber invertido $228 millones en obras.;año;año;m;0.0;;;0
10473.txt;14;Transitan al día, entre buses, transporte de carga y vehículos particulares.;carga;carga;f;0.0;;;0
10505.txt;1;La propuesta que discutirá hoy el Tribunal Supremo Electoral (TSE) consiste en habilitar Juntas Receptoras de Votos (JRV) especiales para sectores vulnerables para las elecciones 2024.;habilitar;habilitar;v;1.0;;;1
10505.txt;2;Dora de Barahona, magistrada presidenta del TSE, explicó a Diario El Mundo que su propuesta busca fomentar “la inclusión” de todos los sectores.;busca;busca;f;0.0;;;0
10505.txt;3;“La idea es ser más inclusivos con la emisión del voto, a estas personas de sectores vulnerables, porque los centros de votación no están diseñados como que las personas puedan subir gradas”, dijo.;ser;ser;m;0.0;;;0
10505.txt;3;“La idea es ser más inclusivos con la emisión del voto, a estas personas de sectores vulnerables, porque los centros de votación no están diseñados como que las personas puedan subir gradas”, dijo.;subir;subir;v;0.0;;;0
10505.txt;4;La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;habilitación;habilitación;f;0.0;;;1
10505.txt;4;La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;entrada;entrada;f;0.0;;;0
10505.txt;4;La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;centro;centro;m;0.0;;;0
10505.txt;4;La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;asistencia;asistencia;f;0.0;;;0
10505.txt;6;Los magistrados trabajarán un nuevo programa de género del Plan General de Elecciones (Plagel).;programa;programa;m;0.0;;;0
10505.txt;6;Los magistrados trabajarán un nuevo programa de género del Plan General de Elecciones (Plagel).;plan;plan;m;0.0;;;0
10505.txt;7;En este programa integrarán a los sectores vulnerables y diseñarán capacitaciones y campañas.;programa;programa;m;0.0;;;0
10505.txt;8;La magistrada aseguró que por el momento se encuentran en pláticas con la Dirección de Organización Electoral (DOE) y Dirección de Registro Electoral.;registro;registro;m;0.0;;;0
10505.txt;9;“Le hemos pedido su opinión a las dos direcciones para ver la factibilidad y un consenso con el equipo técnico para ver cómo en el padrón electoral sería el tratamiento que se le da”, afirmó la funcionaria.;ver;ver;v;0.0;;;0
10505.txt;9;“Le hemos pedido su opinión a las dos direcciones para ver la factibilidad y un consenso con el equipo técnico para ver cómo en el padrón electoral sería el tratamiento que se le da”, afirmó la funcionaria.;ver;ver;v;0.0;;;0
10565.txt;1;Un muerto y dos lesionados dejó el vuelco de una rastra cementera en el kilómetro 86 de la carretera que conduce hacia Metapán, jurisdicción de Texistepeque, Santa Ana.;rastra;rastra;f;1.0;;;1
10565.txt;1;Un muerto y dos lesionados dejó el vuelco de una rastra cementera en el kilómetro 86 de la carretera que conduce hacia Metapán, jurisdicción de Texistepeque, Santa Ana.;conduce;conduce;m;0.0;;;0
10565.txt;2;Según información del Cuerpo de Bomberos, el accidente cobró la vida de un peatón identificado como Pedro Milton Quijada Hernández de 45 años, quien al parecer fue embestido por el automotor cuando pasaba por el lugar.;quijada;quijada;f;0.0;;;0
10565.txt;3;El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;conductor;conductor;m;0.0;;;0
10565.txt;3;El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;rastra;rastra;f;1.0;;;1
10565.txt;3;El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;roja;roja;f;0.0;;;0
10565.txt;3;El conductor de la rastra y un acompañante quedaron atrapados, por lo que Bomberos en conjunto con el personal de la Cruz Roja Salvadoreña y Cruz Verde Salvadoreña, tuvieron que hacer uso de equipos hidráulicos de corte y expansión para rescatarlos con vida.;corte;corte;m;0.0;;;0
10565.txt;4;Los lesionados fueron identificados como Adalberto Meléndez de 31 años y René Zelaya de 42 años –conductor del automotor– quienes fueron traslados de inmediato a un centro hospitalario.;conductor;conductor;m;0.0;;;0
10565.txt;4;Los lesionados fueron identificados como Adalberto Meléndez de 31 años y René Zelaya de 42 años –conductor del automotor– quienes fueron traslados de inmediato a un centro hospitalario.;centro;centro;m;0.0;;;0
10565.txt;5;Bomberos detalló que el conductor tenía atrapadas las piernas y uno de sus brazos.;conductor;conductor;m;0.0;;;0
10565.txt;6;"“Él siempre estuvo consciente, nunca perdió el conocimiento; el rescate se complicó ya que su brazo estaba atrapado con la puerta, la cual recibió todo el peso del camión”, explicó.";brazo;brazo;m;0.0;;;0
10565.txt;6;"“Él siempre estuvo consciente, nunca perdió el conocimiento; el rescate se complicó ya que su brazo estaba atrapado con la puerta, la cual recibió todo el peso del camión”, explicó.";peso;peso;m;0.0;;;0
10565.txt;8;Y dos lesionados tras accidente de una rastra cementera.;rastra;rastra;f;1.0;;;1
10567.txt;1;De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;línea;línea;f;0.0;;;0
10567.txt;1;De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;base;base;f;0.0;;;0
10567.txt;1;De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;sobre;sobre;m;0.0;;;0
10567.txt;1;De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;programa;programa;m;0.0;;;0
10567.txt;1;De unas 20 instituciones que tienen presencia en el municipio de Santa Ana, solo el 25 % cuenta con programas de atención directa a personas retornadas, de acuerdo al estudio “Línea base sobre migración y retorno” realizado por la Organización Internacional para las Migraciones (OIM) y la alcaldía de Santa Ana, respaldado por la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), a través del programa Respuestas Integrales sobre Migración en Centroamérica.;sobre;sobre;m;0.0;;;0
10567.txt;4;En las restantes existen programas sobre fortalecimiento de capacidades, empleabilidad y reinserción productiva.;sobre;sobre;m;0.0;;;0
10567.txt;6;Hay mucho trabajo, pero la gente no logra identificar una ruta”, dijo Antonio Rosales, referente de OIM para Santa Ana.;trabajo;trabajo;m;0.0;;;0
10567.txt;6;Hay mucho trabajo, pero la gente no logra identificar una ruta”, dijo Antonio Rosales, referente de OIM para Santa Ana.;ruta;ruta;f;0.0;;;0
10567.txt;7;El 38 % de instituciones ha recibido alguna formación en migración y retorno, que son: Ministerio de Relaciones Exteriores, Procuraduría para la Defensa de los Derechos Humanos (PDDH), Universidad de Santa Ana (Unasa) y la Alianza de Salvadoreños Retornados (Alsare).;defensa;defensa;f;0.0;;;0
10567.txt;8;La alcaldía de Santa Ana junto a Acnur está por concluir un programa de atención y de reinserción laboral de retornados en el municipio.;programa;programa;m;0.0;;;0
10567.txt;9;El estudio define que la “primera red de apoyo” para las personas migrantes retornadas es la comunidad.;comunidad;comunidad;f;1.0;;;1
10635.txt;2;El fenómeno del oleaje es generado por tormentas en el hemisferio sur del país y las autoridades prevén que sean más rápidas y altas que las habituales.;fenómeno;fenómeno;m;0.0;;;0
10685.txt;1;El Tribunal Supremo Electoral (TSE) no ha publicado información pública que debe divulgar de manera oficiosa, relacionada a las contrataciones que realiza, las adquisiciones, sus actas de reunión y los acuerdos tomados por el pleno.;manera;manera;f;0.0;;;0
10685.txt;2;La Oficina de Asesoría Legal y Anticorrupción de El Salvador (Alac-Funde) interpuso una apelación ante el Instituto de Acceso a la Información Pública (IAIP) contra la negativa del TSE de entregar este tipo de información pública oficiosa.;contra;contra;f;0.0;;;0
10685.txt;3;Alac-Funde también solicitó sancionar al oficial de información del TSE, Duque Mártir Deras Recinos.;duque;duque;m;0.0;;;0
10685.txt;4;La apelación fue puesta por el Alac-Funde en el IAIP contra la resolución de inadmisibilidad del 9 de junio de 2022 a la solicitud de información realizada el 27 de mayo de 2022, argumentando que “la palabra todos no hace referencia exacta a los datos requeridos”.;contra;contra;f;0.0;;;0
10685.txt;5;El portal de transparencia del TSE (tse.gob.sv/laip_tse) indica que la población puede encontrar en este sitio toda la información de interés público y oficiosa del TSE, “con el fin de transparentar el quehacer” de la institución.;portal;portal;m;0.0;;;0
10685.txt;5;El portal de transparencia del TSE (tse.gob.sv/laip_tse) indica que la población puede encontrar en este sitio toda la información de interés público y oficiosa del TSE, “con el fin de transparentar el quehacer” de la institución.;sitio;sitio;m;0.0;;;0
10685.txt;7;Al ingresar en actas, no hay ninguna acta del año 2022 publicada.;año;año;m;0.0;;;0
10685.txt;11;Chats de WhatsApp de presidenta de línea institucional de presidenta del TSE desde enero de 2021 entre ella y el resto de magistrados del TSE.;línea;línea;f;0.0;;;0
10685.txt;16;"El oficial de información del TSE previno al demandante de información pública, señalando que con la expresión ""copia electrónica de todos los acuerdos"" no se cumple el requerimiento legal, sobre descripción clara y precisa necesaria de la información solicitada.";sobre;sobre;m;0.0;;;0
10733.txt;2;"""Hago la promesa ante el país entero que ese recuerdo lo vamos a retomar y ese hecho se va a investigar"", porque ""a él le debemos la gloria como mártir de nuestra Iglesia junto con monseñor Romero"", dijo el purpurado en una parada hecha para saludar a fieles en su ruta hacia la capital.";ruta;ruta;f;0.0;;;0
10733.txt;3;"Rosa Chávez señaló que ""su muerte no ha sido aclarada y eso no lo podemos dejar así"" y que la Oficina de Tutela Legal de la Iglesia salvadoreña tiene ""toda una investigación"" que servirá para ""hacer un buen trabajo y buscar la verdad"".";trabajo;trabajo;m;0.0;;;0
10733.txt;3;"Rosa Chávez señaló que ""su muerte no ha sido aclarada y eso no lo podemos dejar así"" y que la Oficina de Tutela Legal de la Iglesia salvadoreña tiene ""toda una investigación"" que servirá para ""hacer un buen trabajo y buscar la verdad"".";buscar;buscar;v;0.0;;;0
10733.txt;4;El obispo Ramos fue herido la noche del 25 de junio de 1993 en la carretera entre San Salvador y el aeropuerto salvadoreño, en la zona central del país, supuestamente por delincuentes comunes que habían establecido un puesto de asalto y falleció horas después en un hospital.;zona;zona;f;0.0;;;0
10733.txt;4;El obispo Ramos fue herido la noche del 25 de junio de 1993 en la carretera entre San Salvador y el aeropuerto salvadoreño, en la zona central del país, supuestamente por delincuentes comunes que habían establecido un puesto de asalto y falleció horas después en un hospital.;central;central;m;0.0;;;0
10733.txt;4;El obispo Ramos fue herido la noche del 25 de junio de 1993 en la carretera entre San Salvador y el aeropuerto salvadoreño, en la zona central del país, supuestamente por delincuentes comunes que habían establecido un puesto de asalto y falleció horas después en un hospital.;puesto;puesto;m;0.0;;;0
10733.txt;5;No obstante, la Iglesia salvadoreña mostró dudas desde el inicio sobre la versión oficial, dado que sus propias indagaciones apuntan a que el automóvil en el que se transportaba Ramos fue atacado al parecer sin la intención de cometer un robo.;sobre;sobre;m;0.0;;;0
