oracion;palabra;cat_diccionario;y_true;spacy_pos;spacy_dep;y_pred_b1;y_pred_b2;pred_XLM-RoBERTa
Cuatro personas de la misma familia murieron soterradas la noche del jueves 28 de septiembre en El Salvador a causa de un desplazamiento de tierra provocado por las lluvias que han afectado a todo el territorio, informó ayer en un comunicado la Dirección General de Protección Civil.;comunicado;m;0;NOUN;obl;1;1;0
"[caption id=""attachment_1081607"" align=""aligncenter"" width=""1000""]  El renovado parque Cuscatlán luce sus mejores galas en las fiestas de Navidad y Fin de Año.";año;m;0;PROPN;flat;1;1;1
Alfonso Gudiel Estrada, en representación de los reos Roberto “El Burro” Herrera, Reynerio Flores Lazo y del resto de demandantes, argumentó que sus representados “no han cometido actos de terrorismo para que se hayan generalizado las medidas extraordinarias”.;burro;m;0;PROPN;appos;1;1;0
"En una conferencia de prensa, en la que participó el comisionado presidencial de proyectos estratégicos, Luis Rodríguez; el viceministro de Salud, Carlos Alvarenga; y el representante de ASES, Marcelo Olano; las autoridades detallaron que se equipará el hospital que se construye en el Centro Internacional de Ferias y Convenciones (Cifco) con las camas hospitalarias, mientras que las mascarillas se distribuirán a personal de salud.";centro;m;0;PROPN;obl;1;1;0
El Ministerio de Medio Ambiente y Recursos Naturales (MARN) pronostica chubascos aislados para este lunes por una débil vaguada sobre Centroamérica generada por un frente frío sobre el Golfo de México.;sobre;m;0;ADP;case;1;0;0
Cotto dijo que han recurrido a los registros de armas que lleva el Ministerio de la Defensa para investigar a quién se le entregó y poseía el arma, al momento del asesinato de Kury.;defensa;f;0;PROPN;flat;1;1;0
La coordinadora de la Fundación para la Educación Superior (FES) de la Escuela Superior de Economía y Negocios (ESEN), Carolina Rovira recomendó ayer al Ministerio de Educación (Mined) incluir el tema migratorio en currícula escolar, debido a que se debe brindar apoyo a menores en condición de abandono por la migración.;carolina;f;0;PROPN;appos;1;1;0
Su inicio de operación marca un hito no solo por ser la primera planta de gas natural, sino que es el proyecto de inversión privada más grande en la historia de El Salvador por más de $1,000 millones.;ser;m;0;AUX;cop;1;0;0
Asimismo, la legisladora del partido de izquierda también hizo el llamado a la dirigencia del FMLN a investigar esta denuncia porque se debe esclarecer a la militancia “por el bien de la entidad política”.;llamado;m;0;ADJ;obj;1;0;0
Los departamentos de Sonsonate, Usulután, la zona oriental de la capital: Soyapango, e Ilopango, registran actualmente la mayoría de homicidios del país.;zona;f;0;NOUN;appos;1;1;0
La ordenanza prohíbe obstaculizar la acera, con ripio, materiales, planchas de pupusas o negocios de lavados de vehículos.;ripio;m;0;NOUN;nmod;1;1;0
“Es importante que el Tribunal se tome el tiempo para fundamentar de buena manera la decisión que va a tomar”, afirmó el fiscal Omar Aguilar.;manera;f;0;NOUN;obl;1;1;0
Y aunque “Clave Luis” dijo que al momento de enfrentarse a balazos con ellos, pudo reconocerlo, la jueza manifestó que era una apreciación errónea de “Clave Luis” y les restó credibilidad.;clave;f;0;PROPN;nsubj;1;1;0
Mantiene la alerta naranja pero solo en la zona del volcán de Chaparrastique, en San Miguel.;zona;f;0;NOUN;nmod;1;1;0
El defensor Julio Rank, Lisandro Quintanilla, dijo que la condición de salud de su cliente es grave, luego de presentar una solicitud de Habeas Corpus en la Sala de lo Constitucional de la Corte Suprema de Justicia, donde han solicitado su libertad.;corte;m;0;PROPN;nmod;1;1;0
"El ministro de Gobernación, Mario Durán dijo que prevén esta situación debido a la condición que se encuentran los suelos por la acumulación de lluvia, por lo que insistió que la ""situación puede ser incluso más caótica"".";ser;m;0;AUX;cop;1;0;0
Sin embargo, con el financiamiento y la ejecución estamos hablando de no menos de año o dos años para terminar y poderlo tener”, explicó Ayala.;año;m;0;NOUN;obl;1;1;0
El sujeto es considerado que posee un amplio récord delictivo.;récord;m;1;NOUN;obj;1;1;0
Además, uno de los delincuentes fue encontrado muerto al interior del carro, horas después del hecho, en la 41 avenida Norte, a un costado del Centro Nacional de Registro (CNR), en San Salvador.;interior;m;0;NOUN;obl;1;1;0
Este domingo, autoridades de la Comisión Nacional de Protección Civil informaron sobre las medidas que ejecutarán para disminuir el riesgo en la carretera Los Chorros, entre estas la instalación de un sistema de alerta temprana en la vía para que mida los micro movimientos y que a través de pantallas, se informe a la población sobre ello.;sobre;m;0;ADP;case;1;0;0
La audiencia especial que busca reducir a la tercera parte de la mínima de la pena que un tribunal ordinario le impondría finalizó al filo de la 1:00 de la tarde del viernes, sin embargo  El haberse presentado voluntariamente al juzgado que lleva el proceso judicial por casos de corrupción en el gobierno de Mauricio Funes, le valió a Cañas Rivera a no ser enviada a prisión y ha someterse al juicio abreviado y así dejar de ser “prófuga” a cumplir medidas sustitutiva a la prisión, explicó la Fiscalía.;ser;m;0;AUX;aux;1;0;0
El rollo de cordel de nylon, el ladrillo de obra, el hierro corrugado y la lámina acanalada son otros productos que subieron de precio entre $0.38 y $91 en un año.;cordel;m;0;NOUN;nmod;1;1;1
De todos los casos de neumonía registrados hasta el momento, 4,981 se han dado en menores de un año, 6,567 casos en niños entre 1-4 años y 3,512 en mayores de 60.;año;m;0;NOUN;nmod;1;1;0
Asimismo se informó sobre otra escena en la finca Montecristo en Tepecoyo, La Libertad.;finca;f;1;NOUN;obl;1;1;0
La galena señaló que es más económico para el Estado realizar un trasplante de riñón, que brindar tratamiento a un paciente con enfermedad renal terminal e indicó que la mayoría de personas que fallecen son jóvenes “en edad productiva”.;realizar;v;0;VERB;csubj;1;1;0
Al comparar los precios de insumos de construcción de abril y mayo, productos como la pintura de interior y exteriores, la ducha, grava, válvula y lavamanos, bajaron de precio.;interior;m;0;NOUN;nmod;1;1;1
Las temperaturas alcanzadas en la costa y la salinidad reportada hasta este viernes, indican que estaría en desarrollo la “marea roja”, así lo informa en su más reciente boletín del Ministerio de Medio Ambiente y Recursos Naturales (MARN).;medio;m;0;PROPN;flat;1;1;0
De acuerdo a la titular de esta cartera de Estado, la población más vulnerable siguen siendo los niños menores de cinco años, personas mayores de 60 y mujeres embarazadas.;cartera;f;0;NOUN;nmod;1;1;0
Además, dijo que por parte del Estado existe la excusa del bajo presupuesto para no investigar  las desapariciones, él señala  Si la negativa por parte del Gobierno continua en investigar y tratar el tema de los desaparecidos, caería en un delito como lo es la ausencia del ejercicio de responsabilidad, añadió.;tratar;v;0;VERB;conj;1;1;0
"El ministro de Salud, Francisco Alabí descartó este miércoles que la muerte del médico de 34 años de edad sea a causa de coronavirus y afirmó que ""tenía un problema cardiovascular poco controlada"".";miércoles;sust(m/f)/adj;0;NOUN;obl;1;1;0
"Para los estudiantes de quinto grado se transmitirá “El Busito Viajero”; mientras que “El Micrófono Escolar” será para estudiantes de sexto grado.";grado;m;0;NOUN;nmod;1;1;1
En El Salvador, la pandilla asignó a Efraín Cortez, alias, “El Tigre de Park View Locos”, como el encargado de la expansión mundial, este cabecilla se radicó en Sensuntepeque, Cabañas, desde donde diseñó el plan para tener presencia en Honduras, Panamá, México, reforzarse en Estados Unidos, Brasil, Italia y España.;plan;m;0;NOUN;obj;1;1;0
Soy un asiduo lector de Cartas a la Dirección, de hecho, espero con interés cada viernes para leer con gran atención todo lo que aparece, tarea casi familiar.;tarea;f;1;NOUN;obl;1;1;0
"Uno de los países donde tienen más presencia de cabecillas para coordinar con las clicas salvadoreñas es Estados Unidos, han llegado a tener hasta cinco ranfleros: “El Veterano de Tribus”, “El Slayer de Tyni  Winos” a  Hugo Armando Contreras, alias “El Flaco de Francis”; también a  “Marihuana  o Mary Jens de Hollywood” y  al “Cruger de  Peatonales”.";cinco;m;0;NUM;nummod;1;0;0
El homicidio del investigador Marcos Antonio Carranza y homicidio tentado de dos investigadores con clave “Luis” y “Ramón”, quedaron impunes con la absolución que emitió ayer el Tribunal Cuarto de Sentencia de San Salvador, a favor de tres presuntos pandilleros que, según la Fiscalía General de la República, fueron los que participaron en el hecho.;ramón;m;0;PROPN;conj;1;1;0
El director policial, Howard Cotto, informó que 11 personas fueron detenidas por la División Central de Investigaciones (DCI) de la Policía nacional Civil (PNC), mientras que otras tres guardan prisión.;central;m;0;PROPN;flat;1;1;0
"""La condición de salud de Julio es bastante grave, por una parte tiene una enfermedad crónica grave y degenerativa, y que le ha producido daños en órganos blancos, pero a parte, por haber tenido grilletes desde hace mucho tiempo en el hospital donde estaba, se le ha calcificado susmiembros inferioresy muy probablemente tenga que ser amputado de uno de sus pies y eso tiene que ser ya en uno de estos días, si es que no se atiende adecuadamente, por lo tanto solicitamos a la sala de lo Constitucional a que sea ágil en la tramitación de este proceso"", dijo Quintanilla a la prensa.";ser;m;0;AUX;aux;1;0;0
Pienso que se debería felicitar públicamente a la periodista Leydi Torres Arias no solo por denunciar la violación laboral cometida por ese chofer de Astro, sino también por su valentía al oponerse al infractor hasta darle una solución positiva al atropello que tal violación significó para los pasajeros del ómnibus.;ómnibus;m;1;NOUN;nmod;1;1;0
La funcionaria mencionó que pretende proponer al organismo colegiado la habilitación de una JRV a la entrada de un centro de votación para que los ciudadanos ejerzan su derecho con la asistencia requerida en un proceso expedito.;entrada;f;0;NOUN;nmod;1;1;0
Los programas que están dirigidos para estudiantes de primer grado a primer año de bachillerato, tendrán una duración de 13 minutos mientras que para estudiantes de segundo año de bachillerato serán de 26 minutos, detalla Hananía.;año;m;0;NOUN;obl;1;1;1
La diputada del partido Vamos, Claudia Ortiz, valora que “hay un abuso claro y evidente del recurso de la dispensa de trámites” y que todos los casos hubo una emergencia, como lo indica el Reglamento, “sino porque es una manera de tomar por sorpresa a la opinión pública” y no dar suficiente debate.;partido;m;0;NOUN;nmod;1;1;0
La ordenanza crea la Unidad de Tránsito del Cuerpo de Agentes Metropolitanos (UTCAMST), quienes tendrán uniforme, chaleco reflector y silbato, y podrán por aviso o denunciar iniciar procesos de sanción, y quitar obstáculos de las aceras.;tránsito;m;0;PROPN;flat;1;1;0
"Por lo cual, Idhuca también llamó a la comunidad internacional a brindar su apoyo al Gobierno salvadoreño para localizar y recuperar la información relativa al caso jesuita, con el fin de facilitar la entrega garantizando la ""confidencialidad de las personas, instituciones, organizaciones y países que colaboraron con la Comisión de la Verdad"".";comunidad;f;0;NOUN;obj;1;1;0
Sin embargo, al comparar los precios de abril y mayo, productos como la pintura de interior y exteriores, la ducha, grava, válvula y lavamanos fueron de los productos que más bajaron de precio en el último mes, con una disminución que va desde los $0.13 hasta los $4.60.;lavamanos;m;1;NOUN;conj;1;1;1
Etienne también se refirió al avance de la vacunación en el continente, catalogando como  Específicamente en Centroamérica clasificó la situación como “aguda”, tras dos millones de personas que han sido inoculadas ante el virus “plenamente”, y;situación;f;0;NOUN;obj;1;1;0
El joven fue identificado como Ítalo Josué Granados Zúniga, quien se dedicaba a la venta de pan francés en la zona de Lourdes, Colón.;pan;m;0;NOUN;nmod;1;1;0
El cuerpo del niño de cuatro años que fue arrastrado por el Río Pilón, en Ciudad Arce, La Libertad, fue encontrado ayer por los cuerpos de socorro, según confirmó Protección Civil.;pilón;m;0;PROPN;flat;1;1;0
La jueza Cuarta de Paz que conoció del homicidio de Ramón Kury ordenó a la Fiscalía que haga una profunda investigación de cómo el arma salió, supuestamente de la División de la Policía Técnica y Científica, (DPTC), decomisada en el año 2011 por un delito.;año;m;0;NOUN;obl;1;1;0
Estos vientos se deben a un frente frío que se encuentra ubicado en Texas, Estados Unidos,  lo cual favorece también a una cuña anticiclónica que se ubica en Centroamérica, misma que generará nubosidad y algunas precipitaciones Los vientos que se esperan para hoy tendrán velocidades de entre los 12 a los 40 kilómetros por hora, los cuales se sentirán con mayor énfasis en las zonas altas y montañosas del país.;mayor;m;0;ADJ;amod;1;0;0
Al menos cinco sujetos con vestimentas negras similares a las que usa la Policía, llegaron a sacar a sus víctimas de su vivienda  en la madrugada.;sacar;v;0;VERB;xcomp;1;1;0
Delmi Germinda Romero de Rivera, de 45 años de edad, fue asesinada la noche del domingo 17 de marzo, al interior de su vivienda ubicada en la colonia Libertad, calle al Triunfo, del municipio de Sesori, San Miguel.;colonia;f;1;NOUN;obl;1;1;0
El cadáver, según el informe del 911, también presentaba una lesión en la mano derecha, provocada con arma blanca.;mano;f;0;NOUN;nmod;1;1;0
El cierre del paso vehicular se realizará debido a la instalación de una pasarela que conectará el edificio principal del Hospital Benjamín Bloom y el anexo de dicho nosocomio.;paso;m;0;NOUN;nmod;1;1;1
Esto ha generado diferentes reacciones, como la solicitud de la diputada Patricia Valdivieso al Presidente de la República de retirar a la funcionaria de su cargo al frente de la Secretaría de Inclusión Social.;social;m/f;0;PROPN;flat;1;1;0
Según Bukele, estas personas también recibieron mensajes en los que les indicaban la cantidad de dinero que les iban a transferir por realizar esas acciones.;realizar;v;0;VERB;advcl;1;1;0
El vocero de la gremial indicó que la crisis de contenedores en China generó un problema logístico mundial al inicio de la pandemia por covid-19, a lo que se suma que ahora los barcos no tienen suficiente capacidad para traer contenedores.;china;f;0;PROPN;nmod;1;1;0
La gravedad de las lesiones y el daño en sus órganos internos, producto de la inhalación de humo, fueron las causas de la muerte del animal, informó la institución.;daño;m;0;NOUN;conj;1;1;0
El buque BW Tatiana llegó a las aguas salvadoreñas en noviembre del 2021 desde el astillero Keppel Tuas en Singapur, la primera unidad flotante de regasificación y almacenamiento desplegada en la región.;flotante;m;0;ADJ;amod;1;0;0
La realización de entrevistas públicas, la conformación de una comisión especial a cargo de examinar el historial de candidatos y la publicidad que se dio a estos procedimientos, quedaron en meros gestos propagandísticos.;realización;f;0;NOUN;nsubj;1;1;0
La dirigencia del FMLN no se ha pronunciado sobre los señalamientos de manejo de fondos gestionados políticamente y usados en privado por dirigentes y militantes.;manejo;m;0;NOUN;nmod;1;1;0
Tragantes ubicados en el sector del rastro municipal, Bulevar de la 30, y sobre toda la avenida Roosevelt.;bulevar;m;1;PROPN;appos;1;1;1
