oracion;palabra;cat_diccionario;y_true;spacy_pos;spacy_dep;y_pred_b1;y_pred_b2
Un doble homicidio se ha reportado este viernes en el caserío Los Trejos, colonia María Auxiliadora, cantón Primavera, Santa Ana, informó la Fiscalía General de la República (FGR).;doble;m;0;ADJ;amod;1;0
Un doble homicidio se ha reportado este viernes en el caserío Los Trejos, colonia María Auxiliadora, cantón Primavera, Santa Ana, informó la Fiscalía General de la República (FGR).;colonia;f;0;NOUN;appos;1;1
Asimismo se informó sobre otra escena en la finca Montecristo en Tepecoyo, La Libertad.;sobre;m;0;ADP;case;1;0
Asimismo se informó sobre otra escena en la finca Montecristo en Tepecoyo, La Libertad.;finca;f;1;NOUN;obl;1;1
También se reportó la muerte de un gatillero de la Mara Salvatrucha luego de enfrentarse con agentes de la corporación policial, quien fue identificado como Carlos Alexander Garay barrera de 22 años de edad.;alexander;m;0;PROPN;flat;1;1
De acuerdo con las autoridades, Garay Barrera acostumbraba junto a otros sujetos a exigir dinero a los lugareños bajo amenaza.;bajo;m;0;ADP;case;1;0
Desde las 8:00 de la noche de este martes hasta las 5:00 de la mañana del miércoles estará restringido parcialmente el paso vehicular en el bulevar Los Héroes, informó el Viceministerio de Transporte (VMT) a través de redes sociales.;miércoles;sust(m/f)/adj;0;NOUN;nmod;1;1
Desde las 8:00 de la noche de este martes hasta las 5:00 de la mañana del miércoles estará restringido parcialmente el paso vehicular en el bulevar Los Héroes, informó el Viceministerio de Transporte (VMT) a través de redes sociales.;paso;m;0;NOUN;nsubj;1;1
Desde las 8:00 de la noche de este martes hasta las 5:00 de la mañana del miércoles estará restringido parcialmente el paso vehicular en el bulevar Los Héroes, informó el Viceministerio de Transporte (VMT) a través de redes sociales.;bulevar;m;1;NOUN;nmod;1;1
El cierre del paso vehicular se realizará debido a la instalación de una pasarela que conectará el edificio principal del Hospital Benjamín Bloom y el anexo de dicho nosocomio.;cierre;m;0;NOUN;nsubj;1;1
El cierre del paso vehicular se realizará debido a la instalación de una pasarela que conectará el edificio principal del Hospital Benjamín Bloom y el anexo de dicho nosocomio.;paso;m;0;NOUN;nmod;1;1
"""Durante la noche de hoy y madrugada de mañana trabajaremos en el montaje de la sexta pila que sostendrá la infraestructura elevada que interconectará los dos edificios del Hospital Bloom"", informó también la cuenta de redes sociales del Ministerio de Obras Públicas.";pila;f;0;NOUN;nmod;1;1
El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;cierre;m;0;NOUN;nsubj;1;1
El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;tres;m;0;NUM;nummod;1;0
El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;sentido;m;0;NOUN;appos;1;1
El cierre incluye los tres carriles, sentido norte-sur, es decir, los carriles que conducen desde la Universidad de El Salvador (UES) hacia los centros comerciales, desde el tramo de la 25 avenida Norte, hasta la 23 calle Poniente.;calle;f;0;NOUN;nmod;1;1
Los trabajos de la instalación de la pasarela iniciaron el 12 de junio, para conectar la torre principal del hospital Bloom, con el anexo.;conectar;v;0;VERB;advcl;1;1
Los trabajos de la instalación de la pasarela iniciaron el 12 de junio, para conectar la torre principal del hospital Bloom, con el anexo.;torre;f;0;NOUN;obj;1;1
La construcción de la obra inició el 16 de diciembre del año pasado.;año;m;0;NOUN;compound;1;1
El viceministro de obras públicas, Eliud Ayala dijo que la construcción del puente Motochico, ubicado en el kilómetro 69 de la carretera Longitudinal del Norte, entre la ciudad de Chalatenango y el municipio de El Paraíso, tardaría probablemente de un año y medio a dos para construirse.;paraíso;m;0;PROPN;nmod;1;1
El viceministro de obras públicas, Eliud Ayala dijo que la construcción del puente Motochico, ubicado en el kilómetro 69 de la carretera Longitudinal del Norte, entre la ciudad de Chalatenango y el municipio de El Paraíso, tardaría probablemente de un año y medio a dos para construirse.;año;m;0;NOUN;nmod;1;1
El viceministro de obras públicas, Eliud Ayala dijo que la construcción del puente Motochico, ubicado en el kilómetro 69 de la carretera Longitudinal del Norte, entre la ciudad de Chalatenango y el municipio de El Paraíso, tardaría probablemente de un año y medio a dos para construirse.;medio;m;0;NUM;conj;1;0
Sin embargo, con el financiamiento y la ejecución estamos hablando de no menos de año o dos años para terminar y poderlo tener”, explicó Ayala.;año;m;0;NOUN;obl;1;1
Sin embargo, con el financiamiento y la ejecución estamos hablando de no menos de año o dos años para terminar y poderlo tener”, explicó Ayala.;terminar;v;0;VERB;acl;1;1
El viceministro dijo que han decidido hacer el trabajo en tres fases.;trabajo;m;0;NOUN;obj;1;1
El viceministro dijo que han decidido hacer el trabajo en tres fases.;tres;m;0;NUM;nummod;1;0
Añadió que hasta el momento, “estamos haciendo dos esfuerzos paralelos, de igual manera estamos avanzando a un puente provisional, metálico, con fondos Fopromil que fueron aprobados el viernes de la semana pasada y, de igual manera, ya montamos a un equipo para el puente definitivo que ese nos lleva mucho más tiempo, pero estamos trabajando en tres equipos.;manera;f;0;NOUN;fixed;1;1
Añadió que hasta el momento, “estamos haciendo dos esfuerzos paralelos, de igual manera estamos avanzando a un puente provisional, metálico, con fondos Fopromil que fueron aprobados el viernes de la semana pasada y, de igual manera, ya montamos a un equipo para el puente definitivo que ese nos lleva mucho más tiempo, pero estamos trabajando en tres equipos.;manera;f;0;NOUN;fixed;1;1
Añadió que hasta el momento, “estamos haciendo dos esfuerzos paralelos, de igual manera estamos avanzando a un puente provisional, metálico, con fondos Fopromil que fueron aprobados el viernes de la semana pasada y, de igual manera, ya montamos a un equipo para el puente definitivo que ese nos lleva mucho más tiempo, pero estamos trabajando en tres equipos.;tres;m;0;NUM;nummod;1;0
Por otra parte, dijo que  tienen en observación el puente El Jute, en La Unión,  que está sobre la carretera del Litoral y que tiene algunas afectaciones.;sobre;m;0;ADP;case;1;0
